team1,team2,winner,venue,city,date,toss_winner
Punjab Kings,Gujarat Titans,Gujarat Titans,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,2023-04-13,Gujarat Titans
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata,2023-04-14,Kolkata Knight Riders
Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,2023-04-15,Delhi Capitals
Lucknow Super Giants,Punjab Kings,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2023-04-15,Punjab Kings
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,2023-04-16,Mumbai Indians
Gujarat Titans,Rajasthan Royals,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2023-04-16,Rajasthan Royals
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,2023-04-17,Royal Challengers Bangalore
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2023-04-18,Sunrisers Hyderabad
Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",Jaipur,2023-04-19,Rajasthan Royals
Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,2023-04-20,Punjab Kings
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi,2023-04-20,Delhi Capitals
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2023-04-21,Chennai Super Kings
Gujarat Titans,Lucknow Super Giants,Gujarat Titans,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2023-04-22,Gujarat Titans
Punjab Kings,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Mumbai,2023-04-22,Mumbai Indians
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,2023-04-23,Rajasthan Royals
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,"Eden Gardens, Kolkata",Kolkata,2023-04-23,Kolkata Knight Riders
Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2023-04-24,Delhi Capitals
Gujarat Titans,Mumbai Indians,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2023-04-25,Mumbai Indians
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,2023-04-26,Royal Challengers Bangalore
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Jaipur,2023-04-27,Rajasthan Royals
Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,2023-04-28,Punjab Kings
Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,"Eden Gardens, Kolkata",Kolkata,2023-04-29,Gujarat Titans
Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Delhi,2023-04-29,Sunrisers Hyderabad
Chennai Super Kings,Punjab Kings,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2023-04-30,Chennai Super Kings
Rajasthan Royals,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,2023-04-30,Rajasthan Royals
Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2023-05-01,Royal Challengers Bangalore
Delhi Capitals,Gujarat Titans,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2023-05-02,Delhi Capitals
Lucknow Super Giants,Chennai Super Kings,No Result,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2023-05-03,Chennai Super Kings
Punjab Kings,Mumbai Indians,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,2023-05-03,Mumbai Indians
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2023-05-04,Kolkata Knight Riders
Rajasthan Royals,Gujarat Titans,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",Jaipur,2023-05-05,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2023-05-06,Chennai Super Kings
Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi,2023-05-06,Royal Challengers Bangalore
Gujarat Titans,Lucknow Super Giants,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2023-05-07,Lucknow Super Giants
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Jaipur,2023-05-07,Rajasthan Royals
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata,2023-05-08,Punjab Kings
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,2023-05-09,Mumbai Indians
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2023-05-10,Chennai Super Kings
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata,2023-05-11,Rajasthan Royals
Mumbai Indians,Gujarat Titans,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,2023-05-12,Gujarat Titans
Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2023-05-13,Sunrisers Hyderabad
Punjab Kings,Delhi Capitals,Punjab Kings,"Arun Jaitley Stadium, Delhi",Delhi,2023-05-13,Delhi Capitals
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Jaipur,2023-05-14,Royal Challengers Bangalore
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2023-05-14,Chennai Super Kings
Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2023-05-15,Sunrisers Hyderabad
Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2023-05-16,Mumbai Indians
Delhi Capitals,Punjab Kings,Delhi Capitals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,2023-05-17,Punjab Kings
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2023-05-18,Royal Challengers Bangalore
Punjab Kings,Rajasthan Royals,Rajasthan Royals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,2023-05-19,Rajasthan Royals
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Delhi,2023-05-20,Chennai Super Kings
Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,"Eden Gardens, Kolkata",Kolkata,2023-05-20,Kolkata Knight Riders
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,2023-05-21,Mumbai Indians
Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,2023-05-21,Gujarat Titans
Chennai Super Kings,Gujarat Titans,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2023-05-23,Gujarat Titans
Mumbai Indians,Lucknow Super Giants,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2023-05-24,Mumbai Indians
Gujarat Titans,Mumbai Indians,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2023-05-26,Mumbai Indians
Gujarat Titans,Chennai Super Kings,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2023-05-29,Chennai Super Kings
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2024-03-22,Royal Challengers Bengaluru
Delhi Capitals,Punjab Kings,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,2024-03-23,Punjab Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata,2024-03-23,Sunrisers Hyderabad
Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Jaipur,2024-03-24,Rajasthan Royals
Gujarat Titans,Mumbai Indians,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2024-03-24,Mumbai Indians
Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,2024-03-25,Royal Challengers Bengaluru
Chennai Super Kings,Gujarat Titans,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2024-03-26,Gujarat Titans
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2024-03-27,Mumbai Indians
Rajasthan Royals,Delhi Capitals,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Jaipur,2024-03-28,Delhi Capitals
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,2024-03-29,Kolkata Knight Riders
Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2024-03-30,Lucknow Super Giants
Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2024-03-31,Sunrisers Hyderabad
Delhi Capitals,Chennai Super Kings,Delhi Capitals,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,2024-03-31,Delhi Capitals
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,2024-04-01,Rajasthan Royals
Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,2024-04-02,Royal Challengers Bengaluru
Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,2024-04-03,Kolkata Knight Riders
Gujarat Titans,Punjab Kings,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2024-04-04,Punjab Kings
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2024-04-05,Sunrisers Hyderabad
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Jaipur,2024-04-06,Rajasthan Royals
Mumbai Indians,Delhi Capitals,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,2024-04-07,Delhi Capitals
Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2024-04-07,Lucknow Super Giants
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2024-04-08,Chennai Super Kings
Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,2024-04-09,Punjab Kings
Rajasthan Royals,Gujarat Titans,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",Jaipur,2024-04-10,Gujarat Titans
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,2024-04-11,Mumbai Indians
Lucknow Super Giants,Delhi Capitals,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2024-04-12,Lucknow Super Giants
Punjab Kings,Rajasthan Royals,Rajasthan Royals,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,2024-04-13,Rajasthan Royals
Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata,2024-04-14,Kolkata Knight Riders
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai,2024-04-14,Mumbai Indians
Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,2024-04-15,Royal Challengers Bengaluru
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata,2024-04-16,Rajasthan Royals
Gujarat Titans,Delhi Capitals,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2024-04-17,Delhi Capitals
Mumbai Indians,Punjab Kings,Mumbai Indians,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,2024-04-18,Punjab Kings
Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2024-04-19,Lucknow Super Giants
Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Delhi,2024-04-20,Delhi Capitals
Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata,2024-04-21,Royal Challengers Bengaluru
Punjab Kings,Gujarat Titans,Gujarat Titans,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,2024-04-21,Punjab Kings
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Jaipur,2024-04-22,Mumbai Indians
Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2024-04-23,Lucknow Super Giants
Delhi Capitals,Gujarat Titans,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi,2024-04-24,Gujarat Titans
Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2024-04-25,Royal Challengers Bengaluru
Kolkata Knight Riders,Punjab Kings,Punjab Kings,"Eden Gardens, Kolkata",Kolkata,2024-04-26,Punjab Kings
Delhi Capitals,Mumbai Indians,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi,2024-04-27,Mumbai Indians
Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2024-04-27,Rajasthan Royals
Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2024-04-28,Royal Challengers Bengaluru
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2024-04-28,Sunrisers Hyderabad
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata,2024-04-29,Delhi Capitals
Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2024-04-30,Lucknow Super Giants
Chennai Super Kings,Punjab Kings,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2024-05-01,Punjab Kings
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2024-05-02,Sunrisers Hyderabad
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai,2024-05-03,Mumbai Indians
Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,2024-05-04,Royal Challengers Bengaluru
Chennai Super Kings,Punjab Kings,Chennai Super Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,2024-05-05,Punjab Kings
Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2024-05-05,Lucknow Super Giants
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,2024-05-06,Mumbai Indians
Delhi Capitals,Rajasthan Royals,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi,2024-05-07,Rajasthan Royals
Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2024-05-08,Lucknow Super Giants
Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,2024-05-09,Punjab Kings
Gujarat Titans,Chennai Super Kings,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2024-05-10,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata,2024-05-11,Mumbai Indians
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2024-05-12,Rajasthan Royals
Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,2024-05-12,Delhi Capitals
Delhi Capitals,Lucknow Super Giants,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi,2024-05-14,Lucknow Super Giants
Rajasthan Royals,Punjab Kings,Punjab Kings,"Barsapara Cricket Stadium, Guwahati",Guwahati,2024-05-15,Rajasthan Royals
Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Mumbai,2024-05-17,Mumbai Indians
Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,2024-05-18,Chennai Super Kings
Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2024-05-19,Punjab Kings
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2024-05-21,Sunrisers Hyderabad
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2024-05-22,Rajasthan Royals
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2024-05-24,Rajasthan Royals
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2024-05-26,Sunrisers Hyderabad
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",Kolkata,2025-03-22,Royal Challengers Bengaluru
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2025-03-23,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2025-03-23,Chennai Super Kings
Lucknow Super Giants,Delhi Capitals,Delhi Capitals,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,2025-03-24,Delhi Capitals
Punjab Kings,Gujarat Titans,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2025-03-25,Gujarat Titans
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,"Barsapara Cricket Stadium, Guwahati",Guwahati,2025-03-26,Kolkata Knight Riders
Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2025-03-27,Lucknow Super Giants
Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2025-03-28,Chennai Super Kings
Gujarat Titans,Mumbai Indians,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2025-03-29,Mumbai Indians
Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,2025-03-30,Sunrisers Hyderabad
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",Guwahati,2025-03-30,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,2025-03-31,Mumbai Indians
Lucknow Super Giants,Punjab Kings,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2025-04-01,Punjab Kings
Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,2025-04-02,Gujarat Titans
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata,2025-04-03,Sunrisers Hyderabad
Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2025-04-04,Mumbai Indians
Delhi Capitals,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2025-04-05,Delhi Capitals
Rajasthan Royals,Punjab Kings,Rajasthan Royals,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,2025-04-05,Punjab Kings
Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,"Eden Gardens, Kolkata",Kolkata,2025-04-08,Kolkata Knight Riders
Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2025-04-06,Gujarat Titans
Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",Mumbai,2025-04-07,Mumbai Indians
Punjab Kings,Chennai Super Kings,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,2025-04-08,Punjab Kings
Gujarat Titans,Rajasthan Royals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2025-04-09,Rajasthan Royals
Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,2025-04-10,Delhi Capitals
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2025-04-11,Kolkata Knight Riders
Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2025-04-12,Lucknow Super Giants
Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2025-04-12,Punjab Kings
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"Sawai Mansingh Stadium, Jaipur",Jaipur,2025-04-13,Royal Challengers Bengaluru
Mumbai Indians,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi,2025-04-13,Delhi Capitals
Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2025-04-14,Chennai Super Kings
Punjab Kings,Kolkata Knight Riders,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,2025-04-15,Punjab Kings
Delhi Capitals,Rajasthan Royals,No Result,"Arun Jaitley Stadium, Delhi",Delhi,2025-04-16,Rajasthan Royals
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,2025-04-17,Mumbai Indians
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,2025-04-18,Punjab Kings
Delhi Capitals,Gujarat Titans,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2025-04-19,Gujarat Titans
Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",Jaipur,2025-04-19,Lucknow Super Giants
Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,2025-04-20,Royal Challengers Bengaluru
Chennai Super Kings,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,2025-04-20,Mumbai Indians
Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,"Eden Gardens, Kolkata",Kolkata,2025-04-21,Kolkata Knight Riders
Lucknow Super Giants,Delhi Capitals,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2025-04-22,Delhi Capitals
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2025-04-23,Mumbai Indians
Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,2025-04-24,Rajasthan Royals
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2025-04-25,Sunrisers Hyderabad
Punjab Kings,Kolkata Knight Riders,No Result,"Eden Gardens, Kolkata",Kolkata,2025-04-26,Punjab Kings
Mumbai Indians,Lucknow Super Giants,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,2025-04-27,Lucknow Super Giants
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"Arun Jaitley Stadium, Delhi",Delhi,2025-04-27,Royal Challengers Bengaluru
