team1,team2,team1_win_rate,team2_win_rate,team1_recent_form,team2_recent_form,head_to_head_advantage,toss_advantage,target
Chennai Super Kings,Kolkata Knight Riders,0.431,0.478,0.5,0.5,1,0,0
Mumbai Indians,Delhi Capitals,0.405,0.451,0.5,0.5,2,0,0
Royal Challengers Bengaluru,Punjab Kings,0.592,0.473,0.5,0.5,4,0,0
Lucknow Super Giants,Gujarat Titans,0.472,0.61,0.5,0.5,-2,0,0
Rajasthan Royals,Sunrisers Hyderabad,0.513,0.466,0.5,0.5,-3,0,1
Kolkata Knight Riders,Royal Challengers Bengaluru,0.478,0.592,1.0,0.0,1,0,0
Chennai Super Kings,Lucknow Super Giants,0.431,0.472,0.0,0.0,-1,0,0
Punjab Kings,Kolkata Knight Riders,0.473,0.478,1.0,0.5,1,0,0
Rajasthan Royals,Mumbai Indians,0.513,0.405,1.0,0.0,2,0,1
Gujarat Titans,Delhi Capitals,0.61,0.451,1.0,1.0,2,0,1
Punjab Kings,Chennai Super Kings,0.473,0.431,0.5,0.0,6,0,1
Lucknow Super Giants,Sunrisers Hyderabad,0.472,0.466,0.5,0.0,3,0,1
Rajasthan Royals,Royal Challengers Bengaluru,0.513,0.592,1.0,0.5,0,0,0
Mumbai Indians,Kolkata Knight Riders,0.405,0.478,0.0,0.667,-2,0,0
Delhi Capitals,Lucknow Super Giants,0.451,0.472,0.5,0.667,2,0,0
Punjab Kings,Gujarat Titans,0.473,0.61,0.667,1.0,0,0,0
Chennai Super Kings,Sunrisers Hyderabad,0.431,0.466,0.0,0.0,-2,0,0
Mumbai Indians,Royal Challengers Bengaluru,0.405,0.592,0.0,0.667,-3,0,0
Delhi Capitals,Kolkata Knight Riders,0.451,0.478,0.333,0.75,0,0,1
Rajasthan Royals,Lucknow Super Giants,0.513,0.472,0.667,0.75,4,0,1
Gujarat Titans,Sunrisers Hyderabad,0.61,0.466,1.0,0.333,5,0,0
Chennai Super Kings,Royal Challengers Bengaluru,0.431,0.592,0.0,0.75,-2,0,1
Punjab Kings,Mumbai Indians,0.473,0.405,0.5,0.0,2,0,1
Gujarat Titans,Rajasthan Royals,0.61,0.513,0.75,0.75,5,0,1
Kolkata Knight Riders,Sunrisers Hyderabad,0.478,0.466,0.6,0.5,3,0,0
Lucknow Super Giants,Mumbai Indians,0.472,0.405,0.6,0.0,3,0,1
Royal Challengers Bengaluru,Delhi Capitals,0.592,0.451,0.6,0.5,2,0,1
Punjab Kings,Sunrisers Hyderabad,0.473,0.466,0.6,0.6,-4,0,0
Chennai Super Kings,Gujarat Titans,0.431,0.61,0.2,0.8,-2,0,0
Rajasthan Royals,Kolkata Knight Riders,0.513,0.478,0.6,0.4,-1,0,1
Royal Challengers Bengaluru,Lucknow Super Giants,0.592,0.472,0.8,0.8,2,0,1
Punjab Kings,Delhi Capitals,0.473,0.451,0.4,0.4,-2,0,0
Mumbai Indians,Chennai Super Kings,0.405,0.431,0.0,0.2,-5,0,0
Rajasthan Royals,Delhi Capitals,0.513,0.451,0.6,0.4,-1,0,1
Gujarat Titans,Kolkata Knight Riders,0.61,0.478,0.8,0.4,2,1,1
Royal Challengers Bengaluru,Sunrisers Hyderabad,0.592,0.466,0.8,0.8,0,0,0
Lucknow Super Giants,Mumbai Indians,0.472,0.405,0.6,0.0,3,0,1
Punjab Kings,Chennai Super Kings,0.473,0.431,0.4,0.4,6,0,1
Rajasthan Royals,Royal Challengers Bengaluru,0.513,0.592,0.6,0.6,0,0,1
Sunrisers Hyderabad,Gujarat Titans,0.466,0.61,1.0,0.8,-5,0,0
Kolkata Knight Riders,Delhi Capitals,0.478,0.451,0.2,0.4,0,0,0
Lucknow Super Giants,Punjab Kings,0.472,0.473,0.6,0.4,-2,0,1
Royal Challengers Bengaluru,Gujarat Titans,0.592,0.61,0.4,0.8,2,1,0
Rajasthan Royals,Mumbai Indians,0.513,0.405,0.8,0.0,2,0,0
